id;title;description;due_date;done
1;Industrial;connect Markets Chief;2019-06-05T03:01:25;true
2;archive Georgia Aruba;software scale interactive;2019-06-04T21:29:01;true
3;Specialist Home Loan Account;Plastic;2019-06-04T22:07:14;false
4;Industrial;index orange;2019-06-05T17:14:26;false
5;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;2019-06-04T20:39:32;true
6;Highway Ergonomic;moratorium moratorium;2019-06-04T23:51:46;true
7;tangible Mississippi;Frozen bus;2019-06-04T23:06:52;true
8;Robust Networked;Poland;2019-06-05T07:06:44;false
9;partnerships;Outdoors;2019-06-05T02:05:58;false
10;Montana;Corporate Phased relationships;2019-06-04T23:14:25;false
